open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1759622400000,122343.20,122369.30,122204.70,122204.70,343.865,1759623299999,42047301.90850,9708,131.118,16032448.17970,0
1759623300000,122204.80,122365.40,122197.20,122359.20,352.175,1759624199999,43064275.45910,10086,257.860,31529098.80030,0
1759624200000,122359.20,122359.30,122220.10,122220.20,266.250,1759625099999,32559798.81120,8733,112.228,13724022.64990,0
1759625100000,122220.10,122226.10,122101.20,122112.50,672.780,1759625999999,82177288.50350,13306,282.502,34505771.70060,0
1759626000000,122112.50,122274.80,122112.50,122274.80,439.067,1759626899999,53647329.92360,8561,340.326,41579840.63230,0
1759626900000,122274.70,122274.80,122088.10,122201.00,538.778,1759627799999,65831203.12690,13642,249.360,30466248.77890,0
1759627800000,122201.00,122377.70,122201.00,122349.70,456.509,1759628699999,55823984.55960,10050,282.528,34548190.42250,0
1759628700000,122349.80,122350.00,122271.40,122326.90,358.650,1759629599999,43870543.00050,8730,115.455,14122009.67720,0
1759629600000,122326.80,122355.50,122290.50,122355.50,304.990,1759630499999,37308895.30890,7749,203.297,24869764.97040,0
1759630500000,122355.40,122847.00,122329.30,122821.70,3979.093,1759631399999,487687478.70840,38791,3194.789,391556048.68510,0
1759631400000,122821.80,124374.00,122787.00,123643.10,15074.937,1759632299999,1865167840.21700,254497,8751.015,1082482081.81600,0
1759632300000,123643.00,124120.50,123500.40,124012.20,3493.710,1759633199999,432637814.81800,77664,1869.761,231554276.99820,0
1759633200000,124012.20,124110.00,123584.20,123633.40,2480.605,1759634099999,307334488.23120,60929,1063.833,131825276.65540,0
1759634100000,123633.40,123824.00,123303.60,123818.40,2248.239,1759634999999,277831047.89970,55671,1286.151,158964704.04880,0
1759635000000,123818.40,124153.30,123812.20,123990.00,2172.051,1759635899999,269295240.37170,56636,1226.314,152047216.42040,0
1759635900000,123990.00,124100.00,123695.10,123735.70,1549.479,1759636799999,191909514.90140,39050,714.082,88431919.34730,0
1759636800000,123735.70,124046.20,123678.00,123872.90,1755.050,1759637699999,217442821.31500,40541,729.741,90405498.50400,0
1759637700000,123872.90,124037.60,123810.00,123977.90,1086.131,1759638599999,134634184.26060,27725,537.117,66581013.67580,0
1759638600000,123977.90,124453.30,123956.60,124269.50,2457.563,1759639499999,305255237.79490,62974,1447.266,179776775.41900,0
1759639500000,124269.40,125877.30,124269.40,125167.50,16261.111,1759640399999,2035853868.65930,352980,9821.749,1229394101.83010,0
1759640400000,125167.40,125420.10,124856.20,125177.20,3465.899,1759641299999,433627541.59570,93449,1698.891,212593376.98330,0
1759641300000,125177.20,125388.40,124888.00,125367.40,2744.345,1759642199999,343427946.55000,76467,1267.533,158638425.32060,0
1759642200000,125367.40,125380.00,125073.80,125210.30,2140.158,1759643099999,268033042.40770,62116,996.017,124742605.14950,0
1759643100000,125210.20,125210.30,124930.00,125103.00,1559.942,1759643999999,195027564.78170,44322,943.192,117916884.48070,0
1759644000000,125103.00,125215.60,124950.00,125050.40,1461.281,1759644899999,182805507.04440,30765,787.844,98562077.20810,0
1759644900000,125050.40,125050.50,124784.40,124981.50,1476.125,1759645799999,184374168.37540,40930,681.426,85108662.92490,0
1759645800000,124981.60,125058.40,124812.50,125055.00,938.929,1759646699999,117295026.74710,32122,532.354,66511119.54340,0
1759646700000,125055.00,125195.40,124946.80,124977.70,1025.646,1759647599999,128264665.68210,31962,588.180,73561480.32790,0
1759647600000,124977.70,125065.30,124817.80,124985.30,1118.522,1759648499999,139755984.66870,34185,541.070,67607779.40680,0
1759648500000,124985.40,125147.00,124741.50,124741.50,1628.699,1759649399999,203508977.60520,36763,718.027,89755357.90860,0
1759649400000,124741.60,124848.40,124558.80,124683.10,2538.929,1759650299999,316585869.79490,47513,972.021,121208425.11900,0
1759650300000,124683.20,124919.90,124657.90,124692.40,1138.133,1759651199999,142038982.99430,30264,639.571,79816372.41410,0
1759651200000,124692.50,124796.90,124524.90,124616.30,1663.364,1759652099999,207376259.87200,35293,806.271,100524300.69850,0
1759652100000,124616.40,124843.00,124616.30,124720.50,914.338,1759652999999,114042771.49950,24857,501.021,62489693.59300,0
1759653000000,124720.50,124756.60,124587.20,124670.80,735.753,1759653899999,91730984.87000,23438,452.939,56470410.09840,0
1759653900000,124670.80,124682.70,124561.50,124580.90,637.945,1759654799999,79498333.84250,19345,263.335,32816407.23780,0
1759654800000,124581.00,124644.90,124331.50,124371.30,1244.294,1759655699999,154910201.50640,27390,356.661,44412489.34490,0
1759655700000,124371.30,124428.90,123900.00,123979.80,2946.004,1759656599999,365920341.88740,61881,1150.198,142885671.11270,0
1759656600000,123979.80,123996.20,122828.10,122954.90,12071.406,1759657499999,1488514973.69980,184926,5872.137,724067366.70430,0
1759657500000,122955.00,123250.10,122720.40,122998.00,4814.622,1759658399999,592303368.71890,81317,2357.940,290140323.91620,0
1759658400000,122998.00,123049.90,122472.00,122816.90,4918.859,1759659299999,603604551.29160,87107,2091.398,256690118.30770,0
1759659300000,122816.90,123102.60,122765.50,122970.60,2104.639,1759660199999,258782803.13480,42269,1196.680,147141126.45940,0
1759660200000,122970.60,122970.70,122622.00,122775.20,1626.236,1759661099999,199672917.78210,37732,623.848,76600429.35130,0
1759661100000,122775.20,123074.20,122775.10,122980.90,1444.263,1759661999999,177611902.77140,33522,810.124,99625569.09850,0
1759662000000,122981.00,123222.10,122788.00,122823.20,2438.306,1759662899999,299990191.53330,48573,1160.756,142846184.65490,0
1759662900000,122823.70,123414.60,122823.70,123301.30,1929.769,1759663799999,237734737.59670,39750,1127.810,138932572.60150,0
1759663800000,123301.20,123307.00,123111.00,123295.30,733.077,1759664699999,90334442.85760,26745,385.646,47524135.54440,0
1759664700000,123295.20,123500.00,123288.00,123413.20,1331.556,1759665599999,164309732.32510,31583,751.242,92696276.05060,0
1759665600000,123413.30,123413.30,122875.40,123105.60,1860.736,1759666499999,229053053.11170,44708,706.386,86941789.17090,0
1759666500000,123105.60,123210.50,123012.00,123081.40,687.516,1759667399999,84655482.45480,24224,338.294,41655424.37420,0
1759667400000,123081.50,123152.80,122914.30,123002.10,570.834,1759668299999,70233088.02580,21172,266.898,32840050.14380,0
1759668300000,123002.20,123188.00,123002.10,123035.80,557.662,1759669199999,68648068.91410,19394,327.758,40345812.25290,0
1759669200000,123035.90,123281.10,123012.30,123199.70,658.235,1759670099999,81068139.21980,21607,392.801,48380386.78380,0
1759670100000,123199.70,123275.50,123117.00,123242.50,554.247,1759670999999,68285096.82260,19248,270.611,33339638.49330,0
1759671000000,123242.50,123295.00,123160.70,123217.40,607.555,1759671899999,74866703.00130,18903,269.247,33177553.66200,0
1759671900000,123217.40,123230.00,123050.60,123120.00,446.732,1759672799999,55010272.84240,16571,144.075,17740325.07110,0
1759672800000,123119.90,123288.60,123119.90,123213.00,546.883,1759673699999,67387618.59060,18491,289.174,35631174.32980,0
1759673700000,123212.90,123239.30,123086.70,123152.90,356.847,1759674599999,43942794.62180,15078,149.130,18363680.75540,0
1759674600000,123152.80,123182.40,122684.90,122864.90,2024.358,1759675499999,248715218.16260,39010,583.382,71675703.17590,0
1759675500000,122864.90,123020.90,122766.80,122983.40,867.869,1759676399999,106660867.71100,27208,460.631,56614171.83200,0
