funding_time,time_str,rate
1746057600000,2025-05-01 00:00,3.519e-05
1746086400000,2025-05-01 08:00,5.755e-05
1746115200001,2025-05-01 16:00,-8.028e-05
1746144000000,2025-05-02 00:00,-0.00012232
1746172800000,2025-05-02 08:00,-9.382e-05
1746201600003,2025-05-02 16:00,-8.689e-05
1746230400000,2025-05-03 00:00,-5.953e-05
1746259200000,2025-05-03 08:00,3.198e-05
1746288000000,2025-05-03 16:00,-1.483e-05
1746316800001,2025-05-04 00:00,3.7e-06
1746345600001,2025-05-04 08:00,3.229e-05
1746374400002,2025-05-04 16:00,3.745e-05
1746403200000,2025-05-05 00:00,-2.404e-05
1746432000000,2025-05-05 08:00,3.636e-05
1746460800006,2025-05-05 16:00,-2.247e-05
1746489600002,2025-05-06 00:00,1.978e-05
1746518400005,2025-05-06 08:00,4.44e-05
1746547200000,2025-05-06 16:00,7.57e-06
1746576000002,2025-05-07 00:00,1.218e-05
1746604800000,2025-05-07 08:00,-2.5e-07
1746633600006,2025-05-07 16:00,1.32e-05
1746662400000,2025-05-08 00:00,2.318e-05
1746691200001,2025-05-08 08:00,4.608e-05
1746720000002,2025-05-08 16:00,5.728e-05
1746748800001,2025-05-09 00:00,0.0001
1746777600006,2025-05-09 08:00,0.0001
1746806400000,2025-05-09 16:00,4.378e-05
1746835200001,2025-05-10 00:00,9.657e-05
1746864000000,2025-05-10 08:00,0.0001
1746892800001,2025-05-10 16:00,4.257e-05
1746921600000,2025-05-11 00:00,0.0001
1746950400001,2025-05-11 08:00,4.15e-05
1746979200001,2025-05-11 16:00,0.0001
1747008000004,2025-05-12 00:00,4.454e-05
1747036800000,2025-05-12 08:00,0.0001
1747065600000,2025-05-12 16:00,2.301e-05
1747094400000,2025-05-13 00:00,6.847e-05
1747123200008,2025-05-13 08:00,0.0001
1747152000001,2025-05-13 16:00,7.256e-05
1747180800007,2025-05-14 00:00,9.921e-05
1747209600000,2025-05-14 08:00,7.542e-05
1747238400002,2025-05-14 16:00,3.175e-05
1747267200000,2025-05-15 00:00,2.978e-05
1747296000003,2025-05-15 08:00,5.336e-05
1747324800000,2025-05-15 16:00,1.439e-05
1747353600001,2025-05-16 00:00,4.504e-05
1747382400000,2025-05-16 08:00,7.535e-05
1747411200000,2025-05-16 16:00,4.768e-05
1747440000000,2025-05-17 00:00,2.821e-05
1747468800001,2025-05-17 08:00,3.34e-05
1747497600004,2025-05-17 16:00,5.97e-06
1747526400000,2025-05-18 00:00,6.742e-05
1747555200000,2025-05-18 08:00,5.903e-05
1747584000000,2025-05-18 16:00,0.0001
1747612800000,2025-05-19 00:00,5.99e-05
1747641600006,2025-05-19 08:00,6.04e-05
1747670400010,2025-05-19 16:00,2.11e-05
1747699200000,2025-05-20 00:00,8.378e-05
1747728000002,2025-05-20 08:00,7.107e-05
1747756800000,2025-05-20 16:00,1.266e-05
1747785600000,2025-05-21 00:00,8.767e-05
1747814400001,2025-05-21 08:00,7.147e-05
1747843200004,2025-05-21 16:00,5.119e-05
1747872000001,2025-05-22 00:00,0.0001
1747900800000,2025-05-22 08:00,0.0001
1747929600002,2025-05-22 16:00,0.0001
1747958400006,2025-05-23 00:00,9.321e-05
1747987200000,2025-05-23 08:00,7.261e-05
1748016000007,2025-05-23 16:00,8.614e-05
1748044800010,2025-05-24 00:00,3.524e-05
1748073600000,2025-05-24 08:00,4.59e-05
1748102400003,2025-05-24 16:00,7.837e-05
1748131200004,2025-05-25 00:00,9.794e-05
1748160000000,2025-05-25 08:00,5.113e-05
1748188800000,2025-05-25 16:00,3.651e-05
1748217600000,2025-05-26 00:00,7.331e-05
1748246400000,2025-05-26 08:00,0.0001
1748275200002,2025-05-26 16:00,9.782e-05
1748304000003,2025-05-27 00:00,7.65e-05
1748332800001,2025-05-27 08:00,7.266e-05
1748361600005,2025-05-27 16:00,2.476e-05
1748390400002,2025-05-28 00:00,3.26e-05
1748419200003,2025-05-28 08:00,2.164e-05
1748448000002,2025-05-28 16:00,5.368e-05
1748476800000,2025-05-29 00:00,3.186e-05
1748505600006,2025-05-29 08:00,2.812e-05
1748534400000,2025-05-29 16:00,8.379e-05
1748563200003,2025-05-30 00:00,2.622e-05
1748592000003,2025-05-30 08:00,3.849e-05
1748620800000,2025-05-30 16:00,7.392e-05
1748649600000,2025-05-31 00:00,8.506e-05
1748678400000,2025-05-31 08:00,7.552e-05
1748707200000,2025-05-31 16:00,4.687e-05
1748736000001,2025-06-01 00:00,-5.82e-06
1748764800002,2025-06-01 08:00,2.335e-05
1748793600000,2025-06-01 16:00,4.117e-05
1748822400001,2025-06-02 00:00,-6.42e-06
1748851200000,2025-06-02 08:00,5.593e-05
1748880000000,2025-06-02 16:00,4.467e-05
1748908800000,2025-06-03 00:00,5.005e-05
1748937600000,2025-06-03 08:00,6.066e-05
1748966400001,2025-06-03 16:00,4.456e-05
1748995200000,2025-06-04 00:00,-1.1e-07
1749024000000,2025-06-04 08:00,2.611e-05
1749052800000,2025-06-04 16:00,9.62e-06
1749081600016,2025-06-05 00:00,7.4e-07
1749110400000,2025-06-05 08:00,2.871e-05
1749139200000,2025-06-05 16:00,5.156e-05
1749168000002,2025-06-06 00:00,-3.491e-05
1749196800000,2025-06-06 08:00,-3.03e-05
1749225600006,2025-06-06 16:00,-2.995e-05
1749254400000,2025-06-07 00:00,-2.89e-05
1749283200000,2025-06-07 08:00,-3.158e-05
1749312000002,2025-06-07 16:00,2.94e-06
1749340800000,2025-06-08 00:00,4.808e-05
1749369600000,2025-06-08 08:00,5.613e-05
1749398400000,2025-06-08 16:00,-3.602e-05
1749427200000,2025-06-09 00:00,-2.164e-05
1749456000001,2025-06-09 08:00,4.024e-05
1749484800001,2025-06-09 16:00,3.057e-05
1749513600000,2025-06-10 00:00,6.374e-05
1749542400001,2025-06-10 08:00,0.0001
1749571200003,2025-06-10 16:00,8.165e-05
1749600000000,2025-06-11 00:00,8.779e-05
1749628800000,2025-06-11 08:00,8.39e-05
1749657600010,2025-06-11 16:00,5.039e-05
1749686400002,2025-06-12 00:00,1.856e-05
1749715200003,2025-06-12 08:00,7.247e-05
1749744000001,2025-06-12 16:00,1.198e-05
1749772800000,2025-06-13 00:00,-1.801e-05
1749801600001,2025-06-13 08:00,-2.7e-06
1749830400004,2025-06-13 16:00,3.857e-05
1749859200000,2025-06-14 00:00,1.958e-05
1749888000000,2025-06-14 08:00,3.858e-05
1749916800000,2025-06-14 16:00,1.135e-05
1749945600005,2025-06-15 00:00,-3.641e-05
1749974400009,2025-06-15 08:00,1.439e-05
1750003200000,2025-06-15 16:00,7.369e-05
1750032000000,2025-06-16 00:00,9.36e-06
1750060800000,2025-06-16 08:00,5.07e-05
1750089600003,2025-06-16 16:00,2.793e-05
1750118400000,2025-06-17 00:00,1.847e-05
1750147200006,2025-06-17 08:00,5.776e-05
1750176000001,2025-06-17 16:00,2.211e-05
1750204800001,2025-06-18 00:00,-1.752e-05
1750233600001,2025-06-18 08:00,3.695e-05
1750262400001,2025-06-18 16:00,6.692e-05
1750291200005,2025-06-19 00:00,8.45e-06
1750320000003,2025-06-19 08:00,6.16e-06
1750348800000,2025-06-19 16:00,2.396e-05
1750377600000,2025-06-20 00:00,3.565e-05
1750406400002,2025-06-20 08:00,7.862e-05
1750435200001,2025-06-20 16:00,2.4e-05
1750464000002,2025-06-21 00:00,3.977e-05
1750492800005,2025-06-21 08:00,1.933e-05
1750521600000,2025-06-21 16:00,7.44e-05
1750550400005,2025-06-22 00:00,2.883e-05
1750579200000,2025-06-22 08:00,0.0001
1750608000003,2025-06-22 16:00,4.145e-05
1750636800000,2025-06-23 00:00,-1.061e-05
1750665600004,2025-06-23 08:00,-2.809e-05
1750694400013,2025-06-23 16:00,4.889e-05
1750723200003,2025-06-24 00:00,1.245e-05
1750752000000,2025-06-24 08:00,1.218e-05
1750780800000,2025-06-24 16:00,4.47e-06
1750809600005,2025-06-25 00:00,-3.174e-05
1750838400000,2025-06-25 08:00,2.747e-05
1750867200005,2025-06-25 16:00,9.62e-06
1750896000000,2025-06-26 00:00,1.41e-06
1750924800006,2025-06-26 08:00,3.805e-05
1750953600007,2025-06-26 16:00,6.82e-06
1750982400000,2025-06-27 00:00,1.113e-05
1751011200000,2025-06-27 08:00,2.663e-05
1751040000009,2025-06-27 16:00,2.557e-05
1751068800001,2025-06-28 00:00,-1.161e-05
1751097600002,2025-06-28 08:00,6.053e-05
1751126400000,2025-06-28 16:00,4.434e-05
1751155200004,2025-06-29 00:00,1.25e-05
1751184000001,2025-06-29 08:00,5.36e-05
1751212800001,2025-06-29 16:00,0.0001
1751241600000,2025-06-30 00:00,1.084e-05
1751270400005,2025-06-30 08:00,2.959e-05
1751299200002,2025-06-30 16:00,4.923e-05
1751328000007,2025-07-01 00:00,1.053e-05
1751356800002,2025-07-01 08:00,4.334e-05
1751385600000,2025-07-01 16:00,1.109e-05
1751414400001,2025-07-02 00:00,1.807e-05
1751443200000,2025-07-02 08:00,3.403e-05
1751472000003,2025-07-02 16:00,4.13e-05
1751500800006,2025-07-03 00:00,4.871e-05
1751529600003,2025-07-03 08:00,3.562e-05
1751558400003,2025-07-03 16:00,5.028e-05
1751587200005,2025-07-04 00:00,5.23e-05
1751616000003,2025-07-04 08:00,5.009e-05
1751644800001,2025-07-04 16:00,1.797e-05
1751673600004,2025-07-05 00:00,1.066e-05
1751702400009,2025-07-05 08:00,3.055e-05
1751731200006,2025-07-05 16:00,4.005e-05
1751760000001,2025-07-06 00:00,1.941e-05
1751788800002,2025-07-06 08:00,1.665e-05
1751817600004,2025-07-06 16:00,1.028e-05
1751846400000,2025-07-07 00:00,2.36e-05
1751875200007,2025-07-07 08:00,3.438e-05
1751904000000,2025-07-07 16:00,4.271e-05
1751932800010,2025-07-08 00:00,1.073e-05
1751961600003,2025-07-08 08:00,4.563e-05
1751990400000,2025-07-08 16:00,3.601e-05
1752019200002,2025-07-09 00:00,3.093e-05
1752048000006,2025-07-09 08:00,3.396e-05
1752076800001,2025-07-09 16:00,4.253e-05
1752105600003,2025-07-10 00:00,0.0001
1752134400000,2025-07-10 08:00,8.523e-05
1752163200004,2025-07-10 16:00,1.908e-05
1752192000004,2025-07-11 00:00,0.0001
1752220800007,2025-07-11 08:00,0.0001
1752249600001,2025-07-11 16:00,0.0001
1752278400000,2025-07-12 00:00,0.0001
1752307200001,2025-07-12 08:00,0.0001
1752336000002,2025-07-12 16:00,0.0001
1752364800006,2025-07-13 00:00,0.0001
1752393600001,2025-07-13 08:00,0.0001
1752422400003,2025-07-13 16:00,0.0001
1752451200000,2025-07-14 00:00,8.051e-05
1752480000000,2025-07-14 08:00,0.0001
1752508800000,2025-07-14 16:00,0.0001
1752537600002,2025-07-15 00:00,0.0001
1752566400000,2025-07-15 08:00,0.0001
1752595200000,2025-07-15 16:00,0.0001
1752624000000,2025-07-16 00:00,0.0001
1752652800000,2025-07-16 08:00,0.0001
1752681600008,2025-07-16 16:00,0.0001
1752710400003,2025-07-17 00:00,0.0001
1752739200000,2025-07-17 08:00,0.0001
1752768000000,2025-07-17 16:00,0.0001
1752796800004,2025-07-18 00:00,0.0001
1752825600000,2025-07-18 08:00,0.0001
1752854400000,2025-07-18 16:00,0.0001
1752883200009,2025-07-19 00:00,0.0001
1752912000000,2025-07-19 08:00,0.0001
1752940800002,2025-07-19 16:00,0.0001
1752969600000,2025-07-20 00:00,0.0001
1752998400000,2025-07-20 08:00,0.0001
1753027200000,2025-07-20 16:00,0.0001
1753056000001,2025-07-21 00:00,0.0001
1753084800000,2025-07-21 08:00,0.0001
1753113600001,2025-07-21 16:00,0.0001
1753142400000,2025-07-22 00:00,0.0001
1753171200010,2025-07-22 08:00,0.0001
1753200000007,2025-07-22 16:00,0.0001
1753228800000,2025-07-23 00:00,0.0001
1753257600004,2025-07-23 08:00,0.0001
1753286400002,2025-07-23 16:00,0.0001
1753315200000,2025-07-24 00:00,0.0001
1753344000001,2025-07-24 08:00,0.0001
1753372800000,2025-07-24 16:00,0.0001
1753401600000,2025-07-25 00:00,0.0001
1753430400000,2025-07-25 08:00,0.0001
1753459200000,2025-07-25 16:00,0.0001
1753488000001,2025-07-26 00:00,0.0001
1753516800005,2025-07-26 08:00,0.0001
1753545600001,2025-07-26 16:00,0.0001
1753574400001,2025-07-27 00:00,0.0001
1753603200000,2025-07-27 08:00,0.0001
1753632000008,2025-07-27 16:00,0.0001
1753660800005,2025-07-28 00:00,0.0001
1753689600000,2025-07-28 08:00,0.0001
1753718400000,2025-07-28 16:00,0.0001
1753747200001,2025-07-29 00:00,0.0001
1753776000000,2025-07-29 08:00,0.0001
1753804800000,2025-07-29 16:00,0.0001
1753833600011,2025-07-30 00:00,0.0001
1753862400000,2025-07-30 08:00,0.0001
1753891200008,2025-07-30 16:00,0.0001
1753920000000,2025-07-31 00:00,5.694e-05
1753948800009,2025-07-31 08:00,0.0001
1753977600000,2025-07-31 16:00,0.0001
1754006400001,2025-08-01 00:00,-1.408e-05
1754035200003,2025-08-01 08:00,1.549e-05
1754064000000,2025-08-01 16:00,5.681e-05
1754092800004,2025-08-02 00:00,4.81e-05
1754121600000,2025-08-02 08:00,8.94e-06
1754150400000,2025-08-02 16:00,4.437e-05
1754179200000,2025-08-03 00:00,5.633e-05
1754208000000,2025-08-03 08:00,4.533e-05
1754236800003,2025-08-03 16:00,7.504e-05
1754265600004,2025-08-04 00:00,4.188e-05
1754294400000,2025-08-04 08:00,5.719e-05
1754323200002,2025-08-04 16:00,3.912e-05
1754352000000,2025-08-05 00:00,7.101e-05
1754380800000,2025-08-05 08:00,8.589e-05
1754409600000,2025-08-05 16:00,4.784e-05
1754438400005,2025-08-06 00:00,5.172e-05
1754467200000,2025-08-06 08:00,9.275e-05
1754496000000,2025-08-06 16:00,8.288e-05
1754524800003,2025-08-07 00:00,4.843e-05
1754553600002,2025-08-07 08:00,7.574e-05
1754582400002,2025-08-07 16:00,6.275e-05
1754611200002,2025-08-08 00:00,2.403e-05
1754640000004,2025-08-08 08:00,1.729e-05
1754668800000,2025-08-08 16:00,7.973e-05
1754697600005,2025-08-09 00:00,8.835e-05
1754726400000,2025-08-09 08:00,9.087e-05
1754755200007,2025-08-09 16:00,5.151e-05
1754784000003,2025-08-10 00:00,9.849e-05
1754812800005,2025-08-10 08:00,0.0001
1754841600002,2025-08-10 16:00,0.0001
1754870400000,2025-08-11 00:00,0.0001
1754899200000,2025-08-11 08:00,0.0001
1754928000000,2025-08-11 16:00,0.0001
1754956800000,2025-08-12 00:00,0.0001
1754985600001,2025-08-12 08:00,7.988e-05
1755014400005,2025-08-12 16:00,8.543e-05
1755043200000,2025-08-13 00:00,7.123e-05
1755072000002,2025-08-13 08:00,0.0001
1755100800006,2025-08-13 16:00,0.0001
1755129600002,2025-08-14 00:00,0.0001
1755158400003,2025-08-14 08:00,0.0001
1755187200000,2025-08-14 16:00,0.0001
1755216000000,2025-08-15 00:00,1.939e-05
1755244800000,2025-08-15 08:00,7.99e-05
1755273600000,2025-08-15 16:00,3.722e-05
1755302400004,2025-08-16 00:00,8.85e-05
1755331200000,2025-08-16 08:00,8.268e-05
1755360000002,2025-08-16 16:00,9.023e-05
1755388800000,2025-08-17 00:00,8.206e-05
1755417600001,2025-08-17 08:00,4.68e-05
1755446400007,2025-08-17 16:00,1.862e-05
1755475200000,2025-08-18 00:00,2.846e-05
1755504000001,2025-08-18 08:00,-6.82e-06
1755532800002,2025-08-18 16:00,5.296e-05
1755561600000,2025-08-19 00:00,7.137e-05
1755590400001,2025-08-19 08:00,6.262e-05
1755619200000,2025-08-19 16:00,3.167e-05
1755648000000,2025-08-20 00:00,4.543e-05
1755676800000,2025-08-20 08:00,1.364e-05
1755705600000,2025-08-20 16:00,4.936e-05
