Trade #,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net P&L USDT,Net P&L %,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative P&L USDT,Cumulative P&L %
1,Exit long,2025-05-24 11:15,BEAR|1508.561|-528.1979522718|573.524085|2.6303359169|0.3501336388|490.1815238641|1018.3794761359|77.8712565562|82.9915725369|578.9912841406|849.4700118178|820.1024743553|84.3635798671|175.9840204777|-0.2277925318|-6.1571681229|22.379501392|0.2680241415|-3.6438416422|0.1185217452|0|1|0|1,109251.1,1,110510.5,-1259.4,-1.14,837.5,0.76,-3788.6,-3.43,-1259.4,0.00
1,Entry long,2025-05-23 06:25,BULL|784.867|725.5344083814|594.326465|1.3205991088|0.9244042728|755.2007041907|29.6662958093|35.3309702773|31.8658630054|-215.9630048925|-380.0368873267|-537.1464951448|-11.4714263705|127.1727469987|-9.9832468456|-20.1101554406|-29.7931154277|-0.2341651885|0.9918647546|0.3575839963|1|0|1|0,110510.5,1,110510.5,-1259.4,-1.14,837.5,0.76,-3788.6,-3.43,-1259.4,0.00
2,Exit long,2025-05-24 11:15,BEAR|1508.561|-528.1979522718|573.524085|2.6303359169|0.3501336388|490.1815238641|1018.3794761359|77.8712565562|82.9915725369|578.9912841406|849.4700118178|820.1024743553|84.3635798671|175.9840204777|-0.2277925318|-6.1571681229|22.379501392|0.2680241415|-3.6438416422|0.1185217452|0|1|0|1,109251.1,1,109033.2,217.9,0.20,936.4,0.86,-2311.3,-2.12,-1041.5,0.00
2,Entry long,2025-05-23 12:00,BULL|8156.93|42.7771653325|539.187095|15.1281996095|0.0052442727|4099.8535826662|4057.0764173338|16.9467806679|9.2383244669|-1141.1926946811|-1295.8604485183|-1436.0079757026|-148.8536010872|267.0631053378|-27.1311962997|-32.4579601849|-116.3348097231|-1.2057095272|14.2592299421|-0.9935840811|1|0|1|0,109033.2,1,109033.2,217.9,0.20,936.4,0.86,-2311.3,-2.12,-1041.5,0.00
3,Exit long,2025-05-24 11:15,BEAR|1508.561|-528.1979522718|573.524085|2.6303359169|0.3501336388|490.1815238641|1018.3794761359|77.8712565562|82.9915725369|578.9912841406|849.4700118178|820.1024743553|84.3635798671|175.9840204777|-0.2277925318|-6.1571681229|22.379501392|0.2680241415|-3.6438416422|0.1185217452|0|1|0|1,109251.1,1,108100,1151.1,1.06,1869.6,1.73,-1378.1,-1.27,109.6,0.00
3,Entry long,2025-05-23 12:15,BULL|5650.517|1493.7116438928|638.345955|8.8518098309|0.2643495531|3572.1143219464|2078.4026780536|14.6493348499|10.5282073283|-1489.3536398806|-1882.9623621965|-2189.035936098|-248.6514992093|348.3720271236|-13.458792345|-8.8429017395|-193.170811152|-1.4874898937|1.8517753891|-0.1514944151|1|0|1|0,108100,1,108100,1151.1,1.06,1869.6,1.73,-1378.1,-1.27,109.6,0.00
4,Exit long,2025-05-24 11:15,BEAR|1508.561|-528.1979522718|573.524085|2.6303359169|0.3501336388|490.1815238641|1018.3794761359|77.8712565562|82.9915725369|578.9912841406|849.4700118178|820.1024743553|84.3635798671|175.9840204777|-0.2277925318|-6.1571681229|22.379501392|0.2680241415|-3.6438416422|0.1185217452|0|1|0|1,109251.1,1,107996.4,1254.7,1.16,1973.2,1.83,-1274.5,-1.18,1364.3,0.00
4,Entry long,2025-05-23 12:25,BULL|9039.444|5308.8271261246|709.34944|12.7432877088|0.5872957591|7174.1355630623|1865.3084369377|12.1629261337|8.28243707|-1701.647636265|-2264.8108156993|-2705.3373036662|-273.8759085023|431.8610846117|-4.7838545342|-0.9558873969|-125.0223074152|-1.2678203043|-2.3849119006|0.5820514864|1|0|1|0,107996.4,1,107996.4,1254.7,1.16,1973.2,1.83,-1274.5,-1.18,1364.3,0.00
5,Exit long,2025-05-24 11:15,BEAR|1508.561|-528.1979522718|573.524085|2.6303359169|0.3501336388|490.1815238641|1018.3794761359|77.8712565562|82.9915725369|578.9912841406|849.4700118178|820.1024743553|84.3635798671|175.9840204777|-0.2277925318|-6.1571681229|22.379501392|0.2680241415|-3.6438416422|0.1185217452|0|1|0|1,109251.1,1,107059.8,2191.3,2.05,2380.4,2.22,-337.9,-0.32,3555.6,0.00
5,Entry long,2025-05-23 23:45,BULL|2976.311|1845.2279038515|1149.52171|2.5891733702|0.6199714693|2410.7694519258|565.5415480742|25.0152511525|17.194145029|-486.7262373322|-868.9453467444|-1879.3713789281|-48.396945342|215.7170169422|-7.0528541722|-11.3571911567|4.2364124095|-0.3211515005|1.8477582993|-0.3800285307|1|0|1|0,107059.8,1,107059.8,2191.3,2.05,2380.4,2.22,-337.9,-0.32,3555.6,0.00
