Trade #,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2025-06-06 15:00,TP1,105035.4,0.000981,98.5206528,4.43,4.50,4.72,4.79,-0.1,-0.10,4.26,0.04
1,Entry long,2025-06-05 20:00,L1,100428.8,0.000981,98.5206528,4.43,4.50,4.72,4.79,-0.1,-0.10,4.26,0.04
2,Exit long,2025-06-09 21:00,TP2,109935.8,0.000981,98.5206528,9.24,9.37,9.99,10.13,-0.1,-0.10,13.55,0.14
2,Entry long,2025-06-05 20:00,L1,100428.8,0.000981,98.5206528,9.24,9.37,9.99,10.13,-0.1,-0.10,13.55,0.14
3,Exit long,2025-06-09 22:00,TP2,110132.4,0.000981,98.5206528,9.43,9.57,9.99,10.13,-0.1,-0.10,23.03,0.23
3,Entry long,2025-06-05 20:00,L1,100428.8,0.000981,98.5206528,9.43,9.57,9.99,10.13,-0.1,-0.10,23.03,0.23
4,Exit long,2025-06-09 23:00,TP2,110227.9,0.000981,98.5206528,9.53,9.66,9.99,10.13,-0.1,-0.10,32.6,0.33
4,Entry long,2025-06-05 20:00,L1,100428.8,0.000981,98.5206528,9.53,9.66,9.99,10.13,-0.1,-0.10,32.6,0.33
5,Exit long,2025-06-10 00:00,TP2,109870.5,0.000981,98.5206528,9.18,9.31,9.99,10.13,-0.1,-0.10,41.82,0.42
5,Entry long,2025-06-05 20:00,L1,100428.8,0.000981,98.5206528,9.18,9.31,9.99,10.13,-0.1,-0.10,41.82,0.42
6,Exit long,2025-06-23 13:00,TP1,102306.1,0.000003,0.3012864,0.01,1.78,0.03,10.13,-0.01,-2.35,41.39,0.41
6,Entry long,2025-06-05 20:00,L1,100428.8,0.000003,0.3012864,0.01,1.78,0.03,10.13,-0.01,-2.35,41.39,0.41
7,Exit long,2025-06-23 13:00,TP1,102306.1,0.001005,103.7802195,-1.05,-1.01,0.64,0.61,-5.22,-5.03,40.38,0.40
7,Entry long,2025-06-20 19:00,L2,103263.9,0.001005,103.7802195,-1.05,-1.01,0.64,0.61,-5.22,-5.03,40.38,0.40
8,Exit long,2025-06-24 16:00,TP1,106160.1,0.000973,100.4757747,2.73,2.72,2.84,2.82,-5.05,-5.03,43.16,0.43
8,Entry long,2025-06-20 19:00,L2,103263.9,0.000973,100.4757747,2.73,2.72,2.84,2.82,-5.05,-5.03,43.16,0.43
9,Exit long,2025-06-25 00:00,TP2,106343.7,0.001008,104.0900112,3.01,2.89,3.16,3.03,-5.24,-5.03,46.22,0.46
9,Entry long,2025-06-20 19:00,L2,103263.9,0.001008,104.0900112,3.01,2.89,3.16,3.03,-5.24,-5.03,46.22,0.46
10,Exit long,2025-06-25 01:00,TP2,106327.2,0.001008,104.0900112,3,2.88,3.32,3.18,-5.24,-5.03,49.26,0.49
10,Entry long,2025-06-20 19:00,L2,103263.9,0.001008,104.0900112,3,2.88,3.32,3.18,-5.24,-5.03,49.26,0.49
11,Exit long,2025-06-25 02:00,TP2,106420,0.000874,90.2526486,2.68,2.97,3.01,3.33,-4.54,-5.03,51.98,0.52
11,Entry long,2025-06-20 19:00,L2,103263.9,0.000874,90.2526486,2.68,2.97,3.01,3.33,-4.54,-5.03,51.98,0.52
12,Exit long,2025-06-25 02:00,TP2,106420,0.000134,13.3175766,0.93,6.99,0.98,7.37,-0.18,-1.32,52.92,0.53
