Trade #,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2026-04-28 00:30,TP,77360.3,1,76793.5,497.33,0.65,621.83,0.81,-428.21,-0.56,462.74,0.05
1,Entry long,2026-04-27 17:15,L1,76793.5,1,76793.5,497.33,0.65,621.83,0.81,-428.21,-0.56,462.74,0.05
2,Exit long,2026-04-29 03:15,TP,76841.7,1,76856.1,-83.57,-0.11,559.21,0.73,-1254.9,-1.63,276.44,0.03
2,Entry long,2026-04-27 20:00,L2,76856.1,1,76856.1,-83.57,-0.11,559.21,0.73,-1254.9,-1.63,276.44,0.03
3,Exit long,2026-04-29 03:30,TP,77032.9,1,76828.4,135.24,0.18,235.79,0.31,-1227.18,-1.60,446.25,0.04
3,Entry long,2026-04-28 07:45,L3,76828.4,1,76828.4,135.24,0.18,235.79,0.31,-1227.18,-1.60,446.25,0.04
4,Exit long,2026-04-29 09:45,TP,77605.5,1,76241.9,1294.15,1.70,1497.54,1.96,-640.51,-0.84,1774.7,0.18
4,Entry long,2026-04-28 12:00,L4,76241.9,1,76241.9,1294.15,1.70,1497.54,1.96,-640.51,-0.84,1774.7,0.18
5,Exit long,2026-05-08 10:45,TP,80162.3,1,76195.2,3896.23,5.11,6598.89,8.66,-1361.26,-1.79,5561.72,0.56
5,Entry long,2026-04-28 12:15,L5,76195.2,1,76195.2,3896.23,5.11,6598.89,8.66,-1361.26,-1.79,5561.72,0.56
6,Exit long,2026-05-08 12:30,TP,80176.8,1,75948.9,4157.1,5.47,6845.28,9.01,-1114.89,-1.47,9752.99,0.98
6,Entry long,2026-04-28 15:00,L6,75948.9,1,75948.9,4157.1,5.47,6845.28,9.01,-1114.89,-1.47,9752.99,0.98
7,Exit long,2026-05-10 16:00,TP,81439.5,1,80369.1,997.38,1.24,1069.52,1.33,-1267.7,-1.58,10786.54,1.08
7,Entry long,2026-05-07 14:15,L7,80369.1,1,80369.1,997.38,1.24,1069.52,1.33,-1267.7,-1.58,10786.54,1.08
8,Exit long,2026-05-13 01:15,TP,81020.1,1,79500.1,1447.41,1.82,2924.04,3.68,-398.42,-0.50,12233.64,1.22
8,Entry long,2026-05-08 02:30,L8,79500.1,1,79500.1,1447.41,1.82,2924.04,3.68,-398.42,-0.50,12233.64,1.22
9,Exit long,2026-05-14 05:45,TP,79771.5,1,79449.7,250.04,0.31,2974.45,3.74,-771.47,-0.97,12447.99,1.24
9,Entry long,2026-05-08 02:45,L9,79449.7,1,79449.7,250.04,0.31,2974.45,3.74,-771.47,-0.97,12447.99,1.24
10,Exit long,2026-05-14 14:45,TP,80929.5,1,79610.3,1246.42,1.57,2813.81,3.53,-932.1,-1.17,13730.23,1.37
10,Entry long,2026-05-08 03:30,L10,79610.3,1,79610.3,1246.42,1.57,2813.81,3.53,-932.1,-1.17,13730.23,1.37
11,Exit long,2026-05-18 12:15,TP,77303.1,1,80219.3,-2985.66,-3.72,1742.87,2.17,-3719.12,-4.64,10639.99,1.06
11,Entry long,2026-05-12 16:30,L11,80219.3,1,80219.3,-2985.66,-3.72,1742.87,2.17,-3719.12,-4.64,10639.99,1.06
12,Exit long,2026-05-18 19:00,TP,76592.7,1,79666,-3142.12,-3.94,2296.18,2.88,-3685.89,-4.63,7396.35,0.74
12,Entry long,2026-05-13 14:30,L12,79666,1,79666,-3142.12,-3.94,2296.18,2.88,-3685.89,-4.63,7396.35,0.74
13,Exit long,2026-05-18 20:15,TP,77099.1,1,79104.2,-2074.4,-2.62,2858,3.61,-3124.11,-3.95,5357.53,0.54
13,Entry long,2026-05-13 16:30,L13,79104.2,1,79104.2,-2074.4,-2.62,2858,3.61,-3124.11,-3.95,5357.53,0.54
14,Exit long,2026-05-18 20:30,TP,76934,1,79191.3,-2326.45,-2.94,305.1,0.39,-3211.2,-4.06,3066.71,0.31
14,Entry long,2026-05-15 14:30,L14,79191.3,1,79191.3,-2326.45,-2.94,305.1,0.39,-3211.2,-4.06,3066.71,0.31
15,Exit long,2026-05-19 00:15,TP,77177.5,1,78430.1,-1321.82,-1.69,98.87,0.13,-2450.01,-3.12,1780.17,0.18
15,Entry long,2026-05-16 07:15,L15,78430.1,1,78430.1,-1321.82,-1.69,98.87,0.13,-2450.01,-3.12,1780.17,0.18
