Trade #,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net P&L USDT,Net P&L %,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative P&L USDT,Cumulative P&L %
1,Exit long,2025-05-23 13:35,TP,109400,0.917151,99591.0425,745.28,0.75,790.03,0.79,-1226.6,-1.23,745.28,0.07
1,Entry long,2025-05-23 12:05,L1,108587.4,0.917151,99591.0425,745.28,0.75,790.03,0.79,-1226.6,-1.23,745.28,0.07
2,Exit long,2025-05-23 23:55,TP,107132.9,0.934753,100156.1666,-13.37,-0.01,217.61,0.22,-162.74,-0.16,731.91,0.07
2,Entry long,2025-05-23 23:50,L2,107147.2,0.934753,100156.1666,-13.37,-0.01,217.61,0.22,-162.74,-0.16,731.91,0.07
3,Exit long,2025-05-29 19:35,TP,105914.8,0.945635,100147.2855,9.46,0.01,123.78,0.12,-79.53,-0.08,741.37,0.07
3,Entry long,2025-05-29 19:30,L3,105904.8,0.945635,100147.2855,9.46,0.01,123.78,0.12,-79.53,-0.08,741.37,0.07
4,Exit long,2025-05-30 23:55,TP,103961.1,0.961767,99836.60814,149.75,0.15,283.34,0.28,-240.83,-0.24,891.11,0.09
4,Entry long,2025-05-30 23:30,L4,103805.4,0.961767,99836.60814,149.75,0.15,283.34,0.28,-240.83,-0.24,891.11,0.09
5,Exit long,2025-06-04 12:20,TP,104969.6,0.952641,100127.9039,-129.56,-0.13,0.1,0.00,-129.56,-0.13,761.55,0.08
5,Entry long,2025-06-04 12:15,L5,105105.6,0.952641,100127.9039,-129.56,-0.13,0.1,0.00,-129.56,-0.13,761.55,0.08
6,Exit long,2025-06-05 17:05,TP,103387.3,0.967578,99862.56429,172.71,0.17,256.02,0.26,-124.53,-0.12,934.27,0.09
6,Entry long,2025-06-05 17:00,L6,103208.8,0.967578,99862.56429,172.71,0.17,256.02,0.26,-124.53,-0.12,934.27,0.09
7,Exit long,2025-06-05 20:30,TP,101405.8,0.989178,100340.9304,-32.54,-0.03,151.64,0.15,-180.72,-0.18,901.72,0.09
7,Entry long,2025-06-05 20:25,L7,101438.7,0.989178,100340.9304,-32.54,-0.03,151.64,0.15,-180.72,-0.18,901.72,0.09
8,Exit long,2025-06-11 18:40,TP,108704.4,0.922585,100257.2197,31.83,0.03,86.17,0.09,-102.59,-0.10,933.55,0.09
8,Entry long,2025-06-11 18:35,L8,108669.9,0.922585,100257.2197,31.83,0.03,86.17,0.09,-102.59,-0.10,933.55,0.09
9,Exit long,2025-06-12 10:35,TP,107227.1,0.933203,100074.45,-9.8,-0.01,73.72,0.07,-39.75,-0.04,923.75,0.09
9,Entry long,2025-06-12 10:30,L9,107237.6,0.933203,100074.45,-9.8,-0.01,73.72,0.07,-39.75,-0.04,923.75,0.09
10,Exit long,2025-06-12 21:15,TP,106137.2,0.944103,100145.6313,58.82,0.06,121.79,0.12,0,0.00,982.57,0.10
10,Entry long,2025-06-12 21:10,L10,106074.9,0.944103,100145.6313,58.82,0.06,121.79,0.12,0,0.00,982.57,0.10
11,Exit long,2025-06-13 03:55,TP,104418.7,0.95924,99643.16533,519.43,0.52,660.24,0.66,-1211.71,-1.22,1502,0.15
11,Entry long,2025-06-13 00:25,L11,103877.2,0.95924,99643.16533,519.43,0.52,660.24,0.66,-1211.71,-1.22,1502,0.15
12,Exit long,2025-06-17 10:15,TP,106034,0.944203,100111.2947,6.33,0.01,67.23,0.07,-20.21,-0.02,1508.33,0.15
12,Entry long,2025-06-17 10:10,L12,106027.3,0.944203,100111.2947,6.33,0.01,67.23,0.07,-20.21,-0.02,1508.33,0.15
13,Exit long,2025-06-17 19:25,TP,105270,0.952445,100091.9688,171.92,0.17,189.06,0.19,-1704.4,-1.70,1680.24,0.17
13,Entry long,2025-06-17 14:55,L13,105089.5,0.952445,100091.9688,171.92,0.17,189.06,0.19,-1704.4,-1.70,1680.24,0.17
14,Exit long,2025-06-18 19:20,TP,104043,0.964767,100585.1603,-207.91,-0.21,104.58,0.10,-245.15,-0.24,1472.33,0.15
14,Entry long,2025-06-18 19:15,L14,104258.5,0.964767,100585.1603,-207.91,-0.21,104.58,0.10,-245.15,-0.24,1472.33,0.15
15,Exit long,2025-06-20 17:45,TP,102830.5,0.975156,99934.47446,341.3,0.34,373.48,0.37,-98.78,-0.10,1813.64,0.18
15,Entry long,2025-06-20 17:40,L15,102480.5,0.975156,99934.47446,341.3,0.34,373.48,0.37,-98.78,-0.10,1813.64,0.18
16,Exit long,2025-06-21 21:45,TP,101770.6,0.989837,100327.2058,409.1,0.41,428.2,0.43,-53.75,-0.05,2222.74,0.22
16,Entry long,2025-06-21 21:40,L16,101357.3,0.989837,100327.2058,409.1,0.41,428.2,0.43,-53.75,-0.05,2222.74,0.22
17,Exit long,2025-06-22 14:35,TP,99832.1,1.006388,100130.876,338.95,0.34,691.89,0.69,-70.65,-0.07,2561.69,0.26
17,Entry long,2025-06-22 14:30,L17,99495.3,1.006388,100130.876,338.95,0.34,691.89,0.69,-70.65,-0.07,2561.69,0.26
18,Exit long,2025-06-22 20:30,TP,98466.1,1.019469,100383.2384,-0.1,0.00,79.21,0.08,-90.83,-0.09,2561.59,0.26
18,Entry long,2025-06-22 20:25,L18,98466.2,1.019469,100383.2384,-0.1,0.00,79.21,0.08,-90.83,-0.09,2561.59,0.26
19,Exit long,2025-06-27 14:10,TP,106886.3,0.938942,100457.4985,-97.46,-0.10,41.31,0.04,-131.55,-0.13,2464.13,0.25
19,Entry long,2025-06-27 14:05,L19,106990.1,0.938942,100457.4985,-97.46,-0.10,41.31,0.04,-131.55,-0.13,2464.13,0.25
20,Exit long,2025-07-01 20:20,TP,105519.1,0.951192,100255.0661,113.86,0.11,130.88,0.13,0,0.00,2577.98,0.26
20,Entry long,2025-07-01 20:15,L20,105399.4,0.951192,100255.0661,113.86,0.11,130.88,0.13,0,0.00,2577.98,0.26
21,Exit long,2025-07-04 08:20,TP,108619.2,0.923184,100191.3132,84.19,0.08,94.16,0.09,-66.1,-0.07,2662.18,0.27
21,Entry long,2025-07-04 08:15,L21,108528,0.923184,100191.3132,84.19,0.08,94.16,0.09,-66.1,-0.07,2662.18,0.27
22,Exit long,2025-07-04 16:40,TP,107618.6,0.932853,100193.7295,198.6,0.20,279.3,0.28,-5.22,-0.01,2860.78,0.29
22,Entry long,2025-07-04 16:35,L22,107405.7,0.932853,100193.7295,198.6,0.20,279.3,0.28,-5.22,-0.01,2860.78,0.29
23,Exit long,2025-07-15 13:45,TP,118268,0.846389,100108.1825,-7.45,-0.01,188.74,0.19,-1734.93,-1.73,2853.33,0.29
